Machine Name ,Issue Description,Action Taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 1,PET Strap Stucking at guide rails,"Unfeed the strap, then check manually where the strap is stucking. Then adjust the guide rails on that place. Lastly reset the Machine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 1,Arrow Slot Photo Electric Sensor alarm,Check the through beam typePhoto electric Sensor on the side of the arrow slots. Clean the sensor lens. Check the alignment of the arrow slots. Then reset the machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 1,PET Strap is not feeding in the machine ,Remove the L guard from the strapping head. Clean the accumulated debries of PET. Install the L Guard. Push the PET with nose plier into the strapping head while running the tape feeding motor. Cut the excess PET Starp from HMI. Reset the machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 2,PET Strap Stucking at guide rails,"Unfeed the strap, then check manually where the strap is stucking. Then adjust the guide rails on that place. Lastly reset the Machine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 2,Arrow Slot Photo Electric Sensor alarm,Check the through beam typePhoto electric Sensor on the side of the arrow slots. Clean the sensor lens. Check the alignment of the arrow slots. Then reset the machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 2,PET Strap is not feeding in the machine ,Remove the L guard from the strapping head. Clean the accumulated debries of PET. Install the L Guard. Push the PET with nose plier into the strapping head while running the tape feeding motor. Cut the excess PET Starp from HMI. Reset the machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 3,PET Strap Stucking at guide rails,"Unfeed the strap, then check manually where the strap is stucking. Then adjust the guide rails on that place. Lastly reset the Machine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 3,Arrow Slot Photo Electric Sensor alarm,Check the through beam typePhoto electric Sensor on the side of the arrow slots. Clean the sensor lens. Check the alignment of the arrow slots. Then reset the machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 3,L bracket missing on the pallet,"Check the L bracket pushing cylinder manually that if L bracket is coming out or not.
 If L bracket is coming out, then check the vacuum suction cups that wheather it is damaged or loose. If found damaged the replace it.
If L bracket is not coming out from the pusher, then check the alignment and the clearence of the part. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 3,PET Strap is not feeding in the machine ,Remove the L guard from the strapping head. Clean the accumulated debries of PET. Install the L Guard. Push the PET with nose plier into the strapping head while running the tape feeding motor. Cut the excess PET Starp from HMI. Reset the machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 4,PET Strap Stucking at guide rails,"Unfeed the strap, then check manually where the strap is stucking. Then adjust the guide rails on that place. Lastly reset the Machine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 4,Arrow Slot Photo Electric Sensor alarm,Check the through beam typePhoto electric Sensor on the side of the arrow slots. Clean the sensor lens. Check the alignment of the arrow slots. Then reset the machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 4,PET Strap is not feeding in the machine ,Remove the L guard from the strapping head. Clean the accumulated debries of PET. Install the L Guard. Push the PET with nose plier into the strapping head while running the tape feeding motor. Cut the excess PET Starp from HMI. Reset the machine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strapping Machine 4,L bracket missing on the pallet,"Check the L bracket pushing cylinder manually that if L bracket is coming out or not.
 If L bracket is coming out, then check the vacuum suction cups that wheather it is damaged or loose. If found damaged the replace it.
If L bracket is not coming out from the pusher, then check the alignment and the clearence of the part. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
